Festival.name;Festival.month;Festival.isFamous;Festival.website;Festival.city_id;Festival.department_id;Festival.region_id
L'ESTIVAL DE ST-GERMAIN-EN-LAYE;;;www.lestival.net;ST GERMAIN EN LAYE;Yvelines;Ile-de-France
Un ÉTÉ À BOURGES;;;www.ville-bourges.fr;BOURGES;Cher;Centre
L'ÉTÉ À PAU;;;www.leteapau.com;PAU;Pyrénées-Atlantiques;Aquitaine
ÉTÉ CIGALE;;;www.ville-cholet.fr/etecigale;CHOLET;Maine-et-Loire;Pays de la Loire
Les FEMMES S'EN MÊLENT;;;www.lfsm.net;PARIS;Paris;Ile-de-France
Festival Le FESTIN;;;www.lefestinmusik.com;SALLEBOEUF;Gironde;Aquitaine
FESTIVAL DE GUITARES D'AUCAMVILLE;;;guitare.festival.online.fr;AUCAMVILLE;Haute-Garonne;Midi-Pyrénées
Le FESTIVAL DE L'ACCORDÉON;;;www.foyers-ruraux.com;MENDE;Lozère;Languedoc-Roussillon
FESTIVAL DE LA BOUCHURE;;;www.labouchure.com;COMMENTRY;Allier;Auvergne
FESTIVAL DE LA MEUH FOLLE;;;www.meuhfolle.com;ALES;Gard;Languedoc-Roussillon
FESTIVAL DE NÎMES;;;www.festivaldenimes.com;MONTPELLIER;Hérault;Languedoc-Roussillon
FESTIVAL DE TRAVERS;;;www.abcd45.com;ORLEANS;Loiret;Centre
FESTIVAL DES AGITÉS;;;agites.free.fr;TEILLE;Loire-Atlantique;Pays de la Loire
FESTIVAL NATIONAL DE BELLAC;;;www.theatre-du-cloitre.fr;BELLAC;Haute-Vienne;Limousin
FNAC LIVE FESTIVAL;;1;www.fnacindetendances.fr;PARIS;Paris;Ile-de-France
FROG AND ROLL FESTIVAL;;;www.abattoirlillers.fr;LILLERS;Pas-de-Calais;Nord-Pas-de-Calais
GROUND ZERO;;;www.groundzerofestival.fr;LILLE;Nord;Nord-Pas-de-Calais
GUITARES DU MONDE;;;www.espacegerardphilipe.fr.st;ST ANDRE LES VERGERS;Aube;Champagne-Ardenne
HIBERNAROCK;;;www.hibernarock.fr;AURILLAC;Cantal;Auvergne
Les HIVERNAUTES;;;www.hivernautes.com;QUIMPER;Finistère;Bretagne
Les JEUDIS DU PORT;;;brest.fr/culture/tous-les-ans-a-brest/les-jeudis-du-port.html;BREST;Finistère;Bretagne
JUST ROCK;;;www.justrock.fr;LYON;Rhône;Rhône-Alpes
Les KIOSQUES À MUSIQUES;;;www.kiosquesamusique.com;LA VOULTE;Ardèche;Rhône-Alpes
MARSATAC;;1;www.marsatac.com;MARSEILLE;Bouches-du-Rhône;Provence-Alpes-Côte-d'Azur
MAS EN CONCERT;;;www.lemas-concert.com;PUGET SUR ARGENS;Var;Provence-Alpes-Côte-d'Azur
MICROMUSIC;;;www.freesson.com;MONTFAVET;Vaucluse;Provence-Alpes-Côte-d'Azur
